"date","ID","reef_habitat","site","length_mm","biomass","biomass_dry","family","genus","species","gut","gut_notes","dissection_notes","burnt","incubation_volume","ex_N_ug_L_min","ex_P_ug_L_min","ex_urea_ug_L_min","ex_notes","catch_method","temp","N","C","P","N_15","C_13","sto_notes","ex_N","ex_P","ex_N_urea","sp","TL"
"22/07/2016",750,"Backreef","MRB",57,4.7,0.18,"Serranidae","Epinephelus","merra",1,"white, green balls","0","",615,0.203436222,0.0575952381,0.2335315615,"0","clove",26,"10.526","36.725","2.9700693655","0.3697890291","1.0913159573","",0.0001801631182032,5.100634286136e-05,9.64636488941856e-05,"Epinephelus merra",5.7
"06/07/2016",10,"Backreef","MRB",103,24.6,5.75,"Serranidae","Epinephelus","merra",0,"totally empty","0","",1570,0.6104903597,0.0200972862,-2.8244416873,"0","barrier",27,"10.5227881152","32.7709190305","4.9958041555","0.3702523447","1.0908226732","",0.00138019660520976,4.543594464096e-05,-0.00297834670556465,"Epinephelus merra",10.3
"23/08/2016",1315,"Backreef ","MRB",117,45.7,12.35,"Serranidae","Epinephelus","merra",4,"crab - 10mm carapace","0","",2000,6.081349559,0.1803659862,1.0776502732,"0","hook",26,"9.4175444509","32.6724176603","4.957721778","0.370177864","1.0903796977","",0.01751428672992,0.000519454040256,0.00144760750433219,"Epinephelus merra",11.7
"29/08/2016",1515,"Fringe","Pharmacy",132,59.2,19.23,"Serranidae","Epinephelus","merra",1,"hind gut mush, parasite","0","rotten",2000,6.1538376292,0.2338778267,0.3123076923,"0","barrier",26,"10.073","45.686","5.1176963175","0.3704217514","1.0882457035","",0.017723052372096,0.000673568140896,0.00041952289186702,"Epinephelus merra",13.2
"18/07/2016",645,"Backreef","MRB",133,57.9,20.11,"Serranidae","Epinephelus","merra",3.5,"grey/liquid mush","0","",2000,6.630141221,0.734936157,0.7111111111,"0","clove",26,"10.3064501584","39.1951198","3.190627115","0.3703896226","1.0895429554","",0.01909480671648,0.00211661613216,0.000955235484500559,"Epinephelus merra",13.3
"25/08/2016",1360,"Backreef","MRB",133,62.4,18.17,"Serranidae","Epinephelus","merra",3,"parasites ++ crab","0","",2485,3.035365211,0.424430042,1.3535409836,"0","hook",26,"10.5164954","39.9629736","3.680395372","0.3703224441","1.090649","",0.0108617508710424,0.0015187804622928,0.00225912774905337,"Epinephelus merra",13.3
"30/08/2016",1547,"Backreef","Opunohu",133,68.4,18.88,"Serranidae","Epinephelus","merra",2,"pink/red mush","parasites","rotten",2500,3.5296947016,0.4088527132,1.795,"0","hook",26,"10.333547","38.9657411","4.366347853","0.3684747611","1.096469","",0.01270690092576,0.00147186976752,0.00301402915084915,"Epinephelus merra",13.3
"29/08/2016",1502,"Fringe","Pharmacy",135,57,16.09,"Serranidae","Epinephelus","merra",1,"grey mush","0","rotten",1396,2.703894392,0.0922870445,1.0655980149,"0","barrier",26,"8.9046797","30.5133362","5.912989081","0.3703793998","1.0908751737","",0.00543547666257408,0.00018551910833568,0.000999129559459352,"Epinephelus merra",13.5
"23/08/2016",1318,"Backreef ","MRB",138,77.7,23.01,"Serranidae","Epinephelus","merra",2,"hindgut - muck","0","",2370,6.4822522391,0.202581398,1.9246666667,"0","hook",26,"9.6924386","36.7279453","4.5761777","0.3703688119","1.0897671819","",0.0221226304416005,0.0006913697950944,0.00306370438120791,"Epinephelus merra",13.8
"28/08/2016",1442,"Backreef","MRB",138,70.3,19.2,"Serranidae","Epinephelus","merra",2,"shrimps, white mush","0","rotten",2000,3.3573357861,0.411764706,7.1764705882,"0","hook",26,"10.471","39.378","4.7395037385","0.3704327044","1.090449699","",0.009669127063968,0.00118588235328,0.00964015222419893,"Epinephelus merra",13.8
"20/08/2016",1215,"Backreef","Hench/Public Beach",140,79.3,22.17,"Serranidae","Epinephelus","merra",5,"shrimp - 12mm carapace width","0","",3000,6.8399560364,0.5829733925,0.5861168831,"0","hook",25,"9.0642191","32.4769231","4.7528768139","0.3704038615","1.091427","",0.029548610077248,0.0025184450556,0.00118099612577264,"Epinephelus merra",14
"30/08/2016",1546,"Backreef","Opunohu",144,80.6,23.71,"Serranidae","Epinephelus","merra",4,"beige pink liquid in hindgut","0","rotten",2500,3.9629420881,0.1352474266,1.8598907104,"0","hook",26,"8.9527409661","33.1877592","3.214630562","0.3703877971","1.0915489256","",0.01426659151716,0.00048689073576,0.00312298875684631,"Epinephelus merra",14.4
"22/08/2016",1283,"Backreef","MRB",145,79.8,23.48,"Serranidae","Epinephelus","merra",2,"0","0","",3000,4.6471056778,0.6104594426,-1.7488571429,"0","hook",26,"7.4993138","27.5213223","5.078000378","0.3705349323","1.090197","",0.020075496528096,0.002637184792032,-0.00352385943801985,"Epinephelus merra",14.5
"27/08/2016",1398,"Backreef","Hilton",146,85.3,19.51,"Serranidae","Epinephelus","merra",0,"0","0","rotten",3000,7.156650138,0.178474576,0.526271186,"0","hook",26,"8.8607782266","37.0396578","5.214164349","0.370782834","1.091308301","",0.03091672859616,0.00077101016832,0.00106041004736888,"Epinephelus merra",14.6
"20/08/2016",1214,"Backreef","Hench/Public Beach",150,93,26.25,"Serranidae","Epinephelus","merra",2,"grey mush","0","",3000,3.6146448549,0.24200271,-0.8684285714,"correct info on p22 for these","hook",25,"10.2964312","36.7266631","4.1155992827","0.3705152169","1.0924118834","",0.015615265773168,0.0010454517072,-0.00174984001980828,"Epinephelus merra",15
"28/08/2016",1428,"Backreef","MRB",150,90,21.35,"Serranidae","Epinephelus","merra",0,"0","parasites","rotten",3000,3.579344177,0.0375,-0.1833333333,"0","hook",26,"7.8997813","34.7380424","5.433366942","0.3709650172","1.089265","",0.01546276684464,0.000162,-0.000369407472460308,"Epinephelus merra",15
"29/08/2016",1495,"Fringe","Pharmacy",150,81.9,23.97,"Serranidae","Epinephelus","merra",2,"bait skin","0","rotten",2500,8.5952071058,1.0784842858,4.2403473945,"0","barrier",26,"10.3542115","33.7728625","5.2202449537","0.3704484037","1.0912273634","",0.03094274558088,0.00388254342888,0.0071200727892759,"Epinephelus merra",15
